counter,t (in s),lat0 (in decimal degrees),long0 (in decimal degrees),roll (in rad),pitch (in rad),yaw (in rad),winddir (in rad),windspeed (in m/s),filteredwinddir (in rad),filteredwindspeed (in m/s),heading (in rad),theta (in rad),psi (in rad),latitude (in decimal degrees),longitude (in decimal degrees),x (in m),y (in m),ax (in m),ay (in m),bx (in m),by (in m),CurWP,wpslat[CurWP] (in decimal degrees),wpslong[CurWP] (in decimal degrees),e (in m),norm_ma (in m),norm_bm (in m),state,deltag (in rad),deltavmax (in rad),phi+gammabar (in rad)
306,228.439,47.45943,-0.59244,-0.01595,0.096388,1.77534,4.248131,3.9,4.606547,1.891939,4.164356,-2.93705,0.105842,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.113002,-0.74842
307,228.9341,47.45943,-0.59244,-0.01614,0.096124,1.775405,4.204498,3.9,4.598834,1.912019,4.122468,-2.93698,0.113555,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.106795,-0.74842
308,229.4397,47.45943,-0.59244,-0.01645,0.096476,1.776204,4.206243,3.9,4.591355,1.931899,4.113741,-2.93619,0.121034,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.100749,-0.74842
309,229.9386,47.45943,-0.59244,-0.01663,0.095701,1.778578,4.21497,3.9,4.584228,1.95158,4.113741,-2.93381,0.128161,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.094963,-0.74842
310,230.4389,47.45943,-0.59244,-0.01687,0.095177,1.780547,4.220206,3.9,4.577381,1.971064,4.10676,-2.93184,0.135008,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.089383,-0.74842
311,230.9388,47.45943,-0.59244,-0.01759,0.095129,1.78159,4.242895,3.9,4.571118,1.990354,4.101524,-2.9308,0.141271,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.084261,-0.74842
312,231.4389,47.45943,-0.59244,-0.01788,0.094658,1.781753,4.321435,3.9,4.566444,2.00945,4.169592,-2.93064,0.145945,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.080427,-0.74842
313,231.9387,47.45943,-0.59244,-0.01807,0.094438,1.781908,4.436627,3.8,4.564017,2.027355,4.295255,-2.93048,0.148372,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.078432,-0.74842
314,232.4389,47.45943,-0.59244,-0.01821,0.093975,1.781927,4.557055,3.8,4.563887,2.045082,4.4279,-2.93046,0.148502,47.45946,-0.59244,-0.2506,3.335848,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.754,336.4975,359.0101,0,-0.7,1.078326,-0.74842
315,232.9343,47.45943,-0.59244,-0.01883,0.093926,1.78214,4.66701,3.8,4.565785,2.062631,4.58498,-2.93025,0.146604,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.079885,-0.74842
316,233.439,47.45943,-0.59244,-0.01903,0.093843,1.781925,4.750786,3.8,4.569148,2.080005,4.703662,-2.93046,0.143241,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.082646,-0.74842
317,233.9397,47.45943,-0.59244,-0.01952,0.094043,1.781615,4.76824,3.9,4.572736,2.098205,4.766494,-2.93077,0.139653,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.085585,-0.74842
318,234.4389,47.45943,-0.59244,-0.01938,0.093886,1.781767,4.735078,3.9,4.575645,2.116223,4.782202,-2.93062,0.136744,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.087965,-0.74842
319,234.939,47.45943,-0.59244,-0.01903,0.09351,1.781582,4.626868,3.8,4.576559,2.13306,4.701917,-2.93081,0.13583,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.088712,-0.74842
320,235.4389,47.45943,-0.59244,-0.0183,0.093084,1.780861,4.494223,3.7,4.575102,2.14873,4.590216,-2.93153,0.137287,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.087521,-0.74842
321,235.9396,47.45943,-0.59244,-0.01853,0.09317,1.781742,4.199262,3.5,4.568641,2.162243,4.330162,-2.93065,0.143748,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.08223,-0.74842
322,236.439,47.45943,-0.59244,-0.0186,0.093277,1.781696,4.021239,3.5,4.559525,2.17562,4.115486,-2.93069,0.152864,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.074734,-0.74842
323,236.9391,47.45943,-0.59244,-0.01868,0.093157,1.781676,3.902556,3.5,4.54887,2.188864,3.967133,-2.93071,0.163519,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.065929,-0.74842
324,237.439,47.45943,-0.59244,-0.0187,0.093226,1.781605,3.820526,3.5,4.537293,2.201975,3.865904,-2.93078,0.175096,47.45946,-0.59244,-0.2506,3.521173,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.752,336.4411,359.0903,0,-0.7,1.05631,-0.74842
325,237.9395,47.45943,-0.59244,-0.01878,0.092645,1.781318,3.719297,3.4,4.524626,2.213956,3.719297,-2.93107,0.187763,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.045726,-0.74842
326,238.4391,47.45943,-0.59244,-0.01882,0.093145,1.781723,3.666937,3.3,4.511516,2.224816,3.581416,-2.93067,0.200873,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.034709,-0.74842
327,238.9391,47.45943,-0.59244,-0.01995,0.092906,1.781528,3.721042,3.3,4.499225,2.235568,3.539528,-2.93086,0.213164,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.024327,-0.74842
328,239.439,47.45943,-0.59244,-0.02052,0.092769,1.781916,3.817035,3.4,4.488359,2.247212,3.539528,-2.93047,0.224029,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.015106,-0.74842
329,239.9396,47.45943,-0.59244,-0.02054,0.09354,1.781357,3.965388,3.5,4.479795,2.25974,3.645993,-2.93103,0.232594,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.007811,-0.74842
330,240.4394,47.45943,-0.59244,-0.02026,0.094255,1.781211,4.08407,3.5,4.473223,2.272143,3.754203,-2.93118,0.239166,47.45947,-0.59244,-0.2506,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.749,336.3847,359.1705,0,-0.7,1.002198,-0.74842
331,240.9401,47.45943,-0.59244,-0.02026,0.094607,1.781314,4.183554,3.4,4.468384,2.283421,3.843215,-2.93108,0.244005,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.998057,-0.74842
332,241.439,47.45943,-0.59244,-0.02043,0.094025,1.781291,4.328417,3.3,4.466036,2.293587,4.005531,-2.9311,0.246353,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.996046,-0.74842
333,241.9392,47.45943,-0.59244,-0.0204,0.094399,1.781416,4.440118,3.3,4.465603,2.303651,4.101524,-2.93097,0.246786,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.995675,-0.74842
334,242.4394,47.45943,-0.59244,-0.02097,0.094716,1.781374,4.469788,3.2,4.465672,2.312615,4.16261,-2.93102,0.246717,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.995734,-0.74842
335,242.9391,47.45943,-0.59244,-0.02117,0.094116,1.781125,4.433136,3,4.465136,2.319488,4.155629,-2.93126,0.247253,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.995274,-0.74842
336,243.4393,47.45943,-0.59244,-0.02093,0.093739,1.780896,4.39823,2.9,4.46404,2.325294,4.118977,-2.93149,0.248349,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.994335,-0.74842
337,243.939,47.45943,-0.59244,-0.02072,0.093686,1.780021,4.391248,2.9,4.462856,2.331041,4.057891,-2.93237,0.249533,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.993319,-0.74842
338,244.4393,47.45943,-0.59244,-0.01977,0.093936,1.779874,4.323181,2.8,4.460603,2.33573,4.010767,-2.93252,0.251786,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.991385,-0.74842
339,244.9394,47.45943,-0.59244,-0.01975,0.093819,1.780301,4.303982,3,4.458093,2.342373,3.986332,-2.93209,0.254296,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.989229,-0.74842
340,245.4392,47.45943,-0.59244,-0.02068,0.093497,1.780144,4.316199,3.1,4.455832,2.349949,4.000295,-2.93225,0.256557,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.987285,-0.74842
341,245.9392,47.45943,-0.59244,-0.02061,0.093372,1.780244,4.351106,3.1,4.45417,2.35745,4.050909,-2.93215,0.258219,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.985856,-0.74842
342,246.4394,47.45943,-0.59244,-0.02109,0.093367,1.780513,4.412192,3.1,4.453506,2.364875,4.139921,-2.93188,0.258883,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.985285,-0.74842
343,246.9404,47.45943,-0.59244,-0.02128,0.093307,1.77971,4.457571,3.1,4.45357,2.372226,4.223697,-2.93268,0.258819,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.98534,-0.74842
344,247.4392,47.45943,-0.59244,-0.02089,0.09301,1.780017,4.482006,3.1,4.454014,2.379504,4.295255,-2.93237,0.258375,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.985722,-0.74842
345,247.9395,47.45943,-0.59244,-0.02056,0.093235,1.780188,4.53262,3.1,4.455235,2.386709,4.387758,-2.9322,0.257154,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.986772,-0.74842
346,248.4394,47.45943,-0.59244,-0.01982,0.093213,1.78019,4.567527,3.2,4.456966,2.394842,4.455826,-2.9322,0.255423,47.45947,-0.59244,-0.2506,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.747,336.3285,359.2508,0,-0.7,0.988261,-0.74842
347,248.9391,47.45943,-0.59244,-0.02,0.093131,1.779877,4.515167,3.2,4.457861,2.402894,4.422664,-2.93251,0.254528,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.989029,-0.74842
348,249.4392,47.45943,-0.59244,-0.01926,0.093377,1.780506,4.448844,3.3,4.457723,2.411865,4.34587,-2.93188,0.254666,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.988911,-0.74842
349,249.9403,47.45943,-0.59244,-0.01863,0.093852,1.780309,4.323181,3.5,4.455682,2.422746,4.202753,-2.93208,0.256707,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.987157,-0.74842
350,250.4395,47.45943,-0.59244,-0.01885,0.093123,1.780526,4.237659,3.6,4.452408,2.434519,4.10676,-2.93186,0.259981,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.98434,-0.74842
351,250.9393,47.45943,-0.59244,-0.01856,0.093005,1.780006,4.190536,3.7,4.448507,2.447173,4.064872,-2.93238,0.263882,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.98098,-0.74842
352,251.4395,47.45943,-0.59244,-0.0182,0.092916,1.779985,4.176573,3.7,4.444478,2.459702,4.043928,-2.9324,0.267911,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.977505,-0.74842
353,251.9392,47.45943,-0.59244,-0.0176,0.092936,1.780797,4.164356,3.8,4.440349,2.473105,4.012512,-2.93159,0.27204,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.97394,-0.74842
354,252.4395,47.45943,-0.59244,-0.01781,0.092996,1.780838,4.150393,3.8,4.436098,2.486374,3.974115,-2.93155,0.276291,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.970265,-0.74842
355,252.9394,47.45943,-0.59244,-0.01848,0.092768,1.780738,4.167846,3.9,4.432174,2.50051,3.979351,-2.93165,0.280215,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.966869,-0.74842
356,253.4395,47.45943,-0.59244,-0.0179,0.092506,1.78077,4.218461,3.9,4.429048,2.514505,4.02822,-2.93162,0.283341,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.964161,-0.74842
357,253.9395,47.45943,-0.59244,-0.0178,0.092458,1.781127,4.302237,3.8,4.427192,2.52736,4.085816,-2.93126,0.285197,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.962553,-0.74842
358,254.4395,47.45943,-0.59244,-0.01808,0.092346,1.780531,4.34936,3.8,4.426057,2.540086,4.141666,-2.93186,0.286332,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.961568,-0.74842
359,254.9394,47.45943,-0.59244,-0.01739,0.092645,1.780158,4.386012,3.8,4.425475,2.552685,4.183554,-2.93223,0.286914,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.961063,-0.74842
360,255.4397,47.45943,-0.59244,-0.01745,0.093365,1.780263,4.399975,3.8,4.425106,2.565158,4.207989,-2.93213,0.287283,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.960743,-0.74842
361,255.9394,47.45943,-0.59244,-0.01659,0.0939,1.78022,4.499459,3.8,4.426176,2.577507,4.323181,-2.93217,0.286213,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.961671,-0.74842
362,256.4397,47.45943,-0.59244,-0.01654,0.093913,1.779691,4.571017,3.9,4.428247,2.590732,4.441863,-2.9327,0.284142,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.963467,-0.74842
363,256.9395,47.45943,-0.59244,-0.01538,0.09421,1.779089,4.614651,4,4.430895,2.604824,4.518657,-2.9333,0.281494,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.965761,-0.74842
364,257.4394,47.45943,-0.59244,-0.01608,0.094376,1.779346,4.581489,4,4.433029,2.618776,4.494223,-2.93304,0.27936,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.96761,-0.74842
365,257.9407,47.45943,-0.59244,-0.01582,0.093931,1.779591,4.368559,4,4.432116,2.632588,4.269075,-2.9328,0.280272,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.96682,-0.74842
366,258.4398,47.45943,-0.59244,-0.0156,0.092914,1.779822,4.237659,4.1,4.429389,2.647263,4.111996,-2.93257,0.283,47.45947,-0.59244,-0.1253,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.622,336.2091,359.1379,0,-0.7,0.964457,-0.74842
367,258.9403,47.45943,-0.59244,-0.01555,0.092948,1.779678,4.221951,4.1,4.426493,2.66179,4.087561,-2.93271,0.285896,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.961947,-0.74842
368,259.4396,47.45943,-0.59244,-0.01538,0.092913,1.779927,4.295255,4.2,4.42466,2.677172,4.178318,-2.93246,0.287729,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.960357,-0.74842
369,259.9393,47.45943,-0.59244,-0.01486,0.093091,1.78014,4.356342,4.2,4.423708,2.6924,4.265585,-2.93225,0.288681,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.95953,-0.74842
370,260.4398,47.45943,-0.59244,-0.01486,0.093558,1.779584,4.302237,4.2,4.422024,2.707476,4.234169,-2.93281,0.290365,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.958069,-0.74842
371,260.9407,47.45943,-0.59244,-0.01536,0.093907,1.778618,4.242895,4.1,4.419557,2.721402,4.164356,-2.93377,0.292832,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.955926,-0.74842
372,261.4395,47.45943,-0.59244,-0.01512,0.093225,1.778885,4.206243,4,4.416636,2.734188,4.134685,-2.9335,0.295753,47.45947,-0.59244,0,3.891822,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.496,336.0897,359.025,0,-0.7,0.953388,-0.74842
373,261.9394,47.45943,-0.59244,-0.01498,0.093381,1.778929,4.176573,3.9,4.413367,2.745846,4.105014,-2.93346,0.299022,47.45947,-0.59244,0,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.499,336.146,358.9447,0,-0.7,0.950544,-0.74842
374,262.4446,47.45943,-0.59244,-0.01564,0.09311,1.778214,4.157374,3.9,4.409897,2.757387,4.071853,-2.93418,0.302492,47.45947,-0.59244,0,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.499,336.146,358.9447,0,-0.7,0.947524,-0.74842
375,262.9404,47.45943,-0.59244,-0.01569,0.092594,1.777738,4.10676,4,4.405818,2.769813,4.010767,-2.93465,0.306571,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.943971,-0.74842
376,263.4446,47.45943,-0.59244,-0.01615,0.092674,1.776749,4.077089,4,4.40142,2.782115,3.991568,-2.93564,0.310969,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.940135,-0.74842
377,263.9444,47.45943,-0.59244,-0.01618,0.092925,1.776473,4.061381,4.1,4.396889,2.795294,3.979351,-2.93592,0.3155,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.936181,-0.74842
378,264.4397,47.45943,-0.59244,-0.01528,0.092694,1.776458,4.070108,4.1,4.392541,2.808341,3.984587,-2.93593,0.319848,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.932382,-0.74842
379,264.9396,47.45943,-0.59244,-0.01557,0.093427,1.77698,4.101524,4.1,4.388667,2.821258,4.00204,-2.93541,0.323722,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.928994,-0.74842
380,265.4445,47.45943,-0.59244,-0.01631,0.093336,1.777534,4.075344,4,4.384516,2.833045,3.968879,-2.93486,0.327873,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.925361,-0.74842
381,265.9396,47.45943,-0.59244,-0.01654,0.093412,1.778676,3.993313,4,4.379394,2.844715,3.876376,-2.93371,0.332995,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.920875,-0.74842
382,266.4401,47.45943,-0.59244,-0.01637,0.093522,1.779076,3.967133,3.9,4.374024,2.855268,3.824016,-2.93331,0.338365,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.916167,-0.74842
383,266.9397,47.45943,-0.59244,-0.01603,0.093826,1.778669,3.995059,3.9,4.369078,2.865715,3.850196,-2.93372,0.343311,47.45947,-0.59244,0.1253,3.706498,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.373,336.0266,358.8317,0,-0.7,0.911827,-0.74842
